iter	Passed	Remaining
0	1	110
1	1	80
2	2	69
3	2	60
4	3	57
5	3	56
6	4	58
7	5	58
8	5	57
9	6	57
10	6	56
11	7	55
12	8	54
13	9	56
14	10	57
15	11	60
16	12	60
17	13	59
18	13	58
19	14	56
20	14	55
21	15	53
22	15	52
23	16	51
24	16	50
25	17	49
26	17	48
27	18	47
28	18	46
29	19	45
30	19	44
31	20	43
32	21	42
33	21	41
34	22	41
35	22	40
36	24	40
37	25	41
38	27	42
39	27	41
40	28	40
41	28	39
42	29	38
43	29	37
44	30	36
45	30	35
46	31	35
47	31	34
48	32	33
49	32	32
50	33	32
51	33	31
52	34	30
53	35	29
54	35	29
55	36	28
56	36	27
57	37	26
58	37	26
59	38	25
60	39	25
61	40	24
62	40	23
63	41	23
64	41	22
65	42	21
66	42	21
67	43	20
68	43	19
69	44	19
70	45	18
71	45	17
72	46	17
73	46	16
74	47	15
75	47	15
76	48	14
77	48	13
78	49	13
79	49	12
80	50	11
81	51	11
82	51	10
83	52	9
84	52	9
85	53	8
86	54	8
87	55	7
88	55	6
89	56	6
90	56	5
91	57	4
92	57	4
93	58	3
94	59	3
95	59	2
96	60	1
97	60	1
98	61	0
99	61	0
